i,# source_system,supplier_name,supplier_level1, spend ,count(*)
140,ARS_JDE,3403 CARPENTER LLC,,"$358,952.34 ",110
141,PCARD,3463-LOGAN'S ROADHOUSE,,$84.15 ,1
142,PCARD,349 - AKA @ RESORTS,,$11.81 ,1
143,PCARD,3501 - CONELY COMPANY,,$207.32 ,1
148,PCARD,352613 COFFEE CAFE LLC,,$24.83 ,1
149,ARS_JDE,356 MIDWAY VENTURE LLC,,"$213,473.18 ",71
150,PCARD,36 RESTAURANT CORP,,$99.00 ,2
152,ARS_JDE,360 INDUSTRIAL SUPPLY,,"$15,998.61 ",125
153,ARS_JDE,360 PAINTING OF AUGUSTA,,"$6,701.11 ",5
154,ARS_JDE,360 TOUCH LLC,,"$87,589.02 ",17
155,ARS_JDE,360CLEAN,,"$4,922.69 ",12
158,PCARD,363 MULBERRY INVESTMENT L,,$64.28 ,1
162,PCARD,365 RETAIL MARKETS LLC,,$98.06 ,25
163,PCARD,365 SOS AUTO APRIVA,,$31.78 ,5
164,PCARD,377 AUTO,,$375.00 ,1
165,PCARD,3800 EL POLLO LOCO,EL POLLO LOCO,$7.13 ,1
166,PCARD,3826 EL POLLO LOCO,EL POLLO LOCO,$31.91 ,2
167,PCARD,39 PRINCE REALTY LLC,,$319.25 ,1
170,PCARD,4 M OF MIAMI INC,,$100.49 ,1
171,PCARD,4 POINTS OF NC 2 INC,,$353.00 ,13
172,PCARD,4 TEES BERRY HILL LLC,,$467.34 ,5
173,PCARD,4025 JNN CENTRE POINT,,$523.58 ,2
174,PCARD,4030 VILLA OFFICE TAVE,,$24.41 ,1
175,PCARD,4035 MARKET,,$22.70 ,1
176,PCARD,4036 BLUESTONE,,$11.68 ,1
177,PCARD,40TH STREET NORTH DONUTS,,$9.61 ,1
178,PCARD,4220 DOS TOROS,,$21.34 ,1
180,PCARD,44 & KING SOUTHERN PUB LL,,$309.06 ,1
182,PCARD,44TH AVENUE HOTEL OPCO,,"$5,353.68 ",24
183,PCARD,44th District Court,,$65.25 ,3
184,PCARD,475 RESTAURANT & BAR,,$5.45 ,1
185,PCARD,49TH STREET PIZZA CORP,,$9.90 ,1
190,PCARD,4RIVERS LW,,$47.20 ,1
191,PCARD,4-STAR HOSE & SUPPLY INC,,"$1,335.60 ",1
195,PCARD,4TE*BUILDINSP,,"$1,513.00 ",8
197,PCARD,4TE*CITY OF ASHLAND LICEN,NON-SOURCEABLE,$52.00 ,1
206,PCARD,4TE*CITY OF HUNTINGTON BE,NON-SOURCEABLE,"$3,807.56 ",38
209,PCARD,4TE*CITY OF MARIETTA GA,NON-SOURCEABLE,$721.70 ,14
211,PCARD,4TE*CITY OF ORLANDO FL,NON-SOURCEABLE,"$22,720.72 ",159
212,PCARD,4TE*CITY OF PERRIS,NON-SOURCEABLE,"$2,727.42 ",36
215,PCARD,4TE*CITY OF SOUTH FULTON,NON-SOURCEABLE,"$13,235.28 ",102
216,PCARD,4TE*DOUGLAS CO ENVIRONMEN,NON-SOURCEABLE,$267.91 ,2
222,PCARD,4TE*LC COMMUNITY DEVELOPM,NON-SOURCEABLE,"$1,206.00 ",16
223,PCARD,4TE*LICKING CO HEALTH POS,NON-SOURCEABLE,$250.00 ,1
225,PCARD,4TE*PINELLAS CO PCCLB WEB,NON-SOURCEABLE,$613.50 ,2
226,PCARD,4TE*PINELLAS COUNTY BOARD,NON-SOURCEABLE,"$44,523.20 ",267
227,PCARD,4TE*PINELLAS COUNTY FL B,NON-SOURCEABLE,"$13,078.90 ",72
228,PCARD,4TE*PITKIN CO COMMUNITY D,NON-SOURCEABLE,$77.75 ,1
230,PCARD,4TE*POLK COUNTY FL,NON-SOURCEABLE,"$16,891.04 ",165
231,PCARD,4TE*RICHLAND CNTY HLTH PO,NON-SOURCEABLE,$102.55 ,1
232,PCARD,4TE*SALT LAKE CO SOLID WA,NON-SOURCEABLE,"$7,789.00 ",90
233,PCARD,4TE*SUNSET CITY UT CORPOR,NON-SOURCEABLE,$52.50 ,1
234,PCARD,4TE*TOWN OF KENNETH CITY,NON-SOURCEABLE,"$2,458.57 ",4
236,PCARD,4TE*WASHINGTON CO DIXIE C,NON-SOURCEABLE,$80.06 ,1
237,PCARD,4TE*WASHINGTON CO PLANNIN,NON-SOURCEABLE,$310.59 ,3
238,PCARD,4TH & CHURCH LLC,,$52.73 ,1
242,ARS_JDE,5 STAR DRYWALL SERVICES,,"$10,660.00 ",14
243,ARS_JDE,51ST JUDICIAL COURT,,$582.00 ,1
244,PCARD,5242 PEACHTREE PARKWAY OP,,"$1,000.00 ",1
245,PCARD,531 - 18TH AND VINE (M,,$3.94 ,1
247,PCARD,535 - MADE IN KC @ MCI,,$12.13 ,2
248,PCARD,54 RESTAURANT,,$61.79 ,2
249,ARS_JDE,540 ATHLETIC CLUB OF VIRGINIA,,$400.00 ,1
250,PCARD,55 SOUTH BRENTWOOD LLC,,$66.81 ,1
254,PCARD,5GUYS 0156 QSR,Five Guys,$25.16 ,1
255,PCARD,5GUYS 0206 ECOMM,Five Guys,$109.06 ,1
257,PCARD,5GUYS 0366 ECOMM,Five Guys,$30.03 ,1
258,PCARD,5GUYS 1085 QSR,Five Guys,$24.22 ,1
260,PCARD,6 ZIMMIES INC,,$54.78 ,1
261,PCARD,603 FLIGHT STOP S. RDU,,$30.36 ,3
262,PCARD,60776 - SFO PARKINGCENTRA,,$144.00 ,1
263,PCARD,611 EAST RIVER STREET LLC,,$323.99 ,1
264,PCARD,61178 - BELL PARK LOTS,,$12.00 ,1
265,PCARD,620 N BISHOP RENTS - 6754,,$538.08 ,2
267,PCARD,6450 SALT LAKE CITY,,$365.72 ,1
268,PCARD,6585 AMPERAGE ELECTRICAL,,$539.27 ,1
269,PCARD,661 Take 5 Car Wash,,$10.00 ,1
270,PCARD,685 BROOKHAVEN LLC,,$43.49 ,1
271,PCARD,6AMERAIR CENTR,,$114.60 ,2
272,PCARD,6MEMA BUDGET RAC MEMPHIS,,$392.13 ,1
274,PCARD,71930 - MLK SELF PARK,,$25.00 ,1
275,PCARD,72600 NATIONAL HARBOR FLE,,$15.00 ,1
276,PCARD,73233 - ONE MAGNIFICENT M,,$30.00 ,2
277,PCARD,739 - TELEGRAPH 1ST ED,TELEGRAPH 1ST,$11.92 ,1
278,PCARD,739 - TELEGRAPH1STEDIT,TELEGRAPH 1ST,$4.04 ,1
279,PCARD,751 HOULIHAN OVERLAND OL,,$31.76 ,1
280,PCARD,76 - COUNTY LINE,NON-SOURCEABLE,$86.65 ,1
282,PCARD,76 - FISHERMANS WHARF GAS,,$69.01 ,1
283,PCARD,76 - HESPERIAN,,$23.31 ,1
284,PCARD,76 - J. T. ALEXANDER & SO,,$3.75 ,1
285,PCARD,76 - LAKE SAMMAMISH GAS S,,$50.00 ,1
286,PCARD,76 - MILLENNIUM PETROLEUM,,$68.72 ,1
288,PCARD,76 - NORTHGATE 76,,$237.09 ,3
289,PCARD,76 - PANJABI CORP,,$89.52 ,2
290,PCARD,76 - PDX FOOD MART  AT,,$7.36 ,1
291,PCARD,76 - TUSTIN AUTO WASH 76,,$34.99 ,1
292,PCARD,76 - UNITED PACIFIC 5927,,$92.35 ,1
293,PCARD,76 DEGREES BAKERY LLC,,$143.80 ,1
294,PCARD,777 NASHVILLE LP,,$185.25 ,1
295,ARS_JDE,7899 FRONTAGE ROAD PROPERTIES LLC,,"$356,132.81 ",63
298,PCARD,7-ELEVEN 10775,7-ELEVEN,$48.33 ,1
299,PCARD,7-ELEVEN 10957,7-ELEVEN,$104.95 ,1
300,PCARD,7-ELEVEN 11022,7-ELEVEN,$390.28 ,11
301,PCARD,7-ELEVEN 15168,7-ELEVEN,$21.40 ,1
302,PCARD,7-ELEVEN 15801,7-ELEVEN,$108.78 ,1
303,PCARD,7-ELEVEN 16439,7-ELEVEN,$108.89 ,1
304,PCARD,7-ELEVEN 17219,7-ELEVEN,$9.02 ,1
307,PCARD,7-ELEVEN 18726,7-ELEVEN,$8.84 ,2
308,PCARD,7-ELEVEN 19049,7-ELEVEN,$8.40 ,1
309,PCARD,7-ELEVEN 20611,7-ELEVEN,$12.97 ,1
310,PCARD,7-ELEVEN 22070,7-ELEVEN,$41.79 ,1
311,PCARD,7-ELEVEN 22095,7-ELEVEN,$29.08 ,2
312,PCARD,7-ELEVEN 23127,7-ELEVEN,$21.37 ,1
315,PCARD,7-ELEVEN 24305,7-ELEVEN,$22.03 ,1
316,PCARD,7-ELEVEN 24584,7-ELEVEN,$43.77 ,1
317,PCARD,7-ELEVEN 25616,7-ELEVEN,$19.56 ,1
318,PCARD,7-ELEVEN 25625,7-ELEVEN,$7.12 ,1
319,PCARD,7-ELEVEN 26721,7-ELEVEN,$12.30 ,1
320,PCARD,7-ELEVEN 27239,7-ELEVEN,$46.09 ,1
323,PCARD,7-ELEVEN 28505,7-ELEVEN,$18.76 ,1
324,PCARD,7-ELEVEN 28523,7-ELEVEN,$15.34 ,1
327,PCARD,7-ELEVEN 30030,7-ELEVEN,$15.79 ,1
328,PCARD,7-ELEVEN 30110,7-ELEVEN,$21.56 ,1
329,PCARD,7-ELEVEN 32658,7-ELEVEN,$5.77 ,1
337,PCARD,7-ELEVEN 33035,7-ELEVEN,$32.10 ,1
338,PCARD,7-ELEVEN 33346,7-ELEVEN,$68.20 ,1
339,PCARD,7-ELEVEN 33500,7-ELEVEN,$65.19 ,2
340,PCARD,7-ELEVEN 33668,7-ELEVEN,$52.30 ,2
344,PCARD,7-ELEVEN 34007,7-ELEVEN,$7.96 ,1
345,PCARD,7-ELEVEN 34279,7-ELEVEN,$96.47 ,11
346,PCARD,7-ELEVEN 34558,7-ELEVEN,$15.35 ,1
349,PCARD,7-ELEVEN 35061,7-ELEVEN,$13.00 ,1
350,PCARD,7-ELEVEN 35478,7-ELEVEN,$100.00 ,2
351,PCARD,7-ELEVEN 36014,7-ELEVEN,$106.96 ,5
352,PCARD,7-ELEVEN 36330,7-ELEVEN,$100.00 ,1
353,PCARD,7-ELEVEN 36349,7-ELEVEN,$50.00 ,1
356,PCARD,7-ELEVEN 36754,7-ELEVEN,$33.06 ,2
357,PCARD,7-ELEVEN 37140,7-ELEVEN,$275.25 ,5
361,PCARD,7-ELEVEN 37939,7-ELEVEN,$10.00 ,1
365,PCARD,7-ELEVEN 38603,7-ELEVEN,$48.89 ,3
366,PCARD,7-ELEVEN 38707,7-ELEVEN,$25.63 ,1
368,PCARD,7-ELEVEN 39033,7-ELEVEN,$13.65 ,1
375,PCARD,7-ELEVEN 39867,7-ELEVEN,$10.76 ,1
376,PCARD,7-ELEVEN 39997,7-ELEVEN,$88.40 ,10
377,PCARD,7-ELEVEN 40392,7-ELEVEN,$228.07 ,17
378,PCARD,7-ELEVEN 41053,7-ELEVEN,$6.44 ,1
379,PCARD,7-ELEVEN 41068,7-ELEVEN,$119.00 ,2
380,PCARD,7-ELEVEN 41288,7-ELEVEN,$111.14 ,3
381,PCARD,7-ELEVEN 41354,7-ELEVEN,$8.24 ,1
384,PCARD,7-ELEVEN INC,7-ELEVEN,"$1,366.54 ",66
385,PCARD,7XDIRECT,,"$12,600.00 ",9
386,PCARD,8006 MECHANICSVILLE TURN,,$33.00 ,1
388,PCARD,82858 - TERMINAL A EMPLOY,,$72.00 ,1
389,PCARD,85C BAKERY CAFE USA,,$35.00 ,1
390,PCARD,8757 RIO SAN DIEGO MISSIO,,$201.93 ,1
391,PCARD,877-494-3833 EVGO SERVICE,,$18.85 ,2
392,PCARD,888 CHINESE RESTAURANT,,$70.00 ,1
394,PCARD,901 FINANCIAL SERVICE,,$2.00 ,1
395,ARS_JDE,901 HAWTHORN-250 SPRING LAKE LLC,,"$5,476.52 ",4
396,ARS_JDE,911 AUTO CENTERS LLC,,"$5,016.17 ",2
397,PCARD,911 TACOBAR,,"$2,478.23 ",1
398,PCARD,922 BEACON BLDG PROD,,$348.15 ,3
399,PCARD,92550 - BWI DAILY GARAGE,,$234.00 ,4
400,PCARD,92552 - BWI LONG TERM A,,$21.00 ,1
406,PCARD,93617 - SARASOTA AIRPORT,NON-SOURCEABLE,$564.00 ,8
407,PCARD,937 INK,,"$4,856.33 ",1
408,PCARD,93852 - OMA SOUTH GARAGE,,$91.00 ,3
409,PCARD,95497 - STANDARD PARKING,,$619.00 ,10
410,ARS_JDE,965 RIDGE LAKE INVESTMENTS LLC,,"$1,116,206.72 ",39
411,PCARD,9668 GREAT CLIPS AT BEL A,,$21.00 ,1
412,PCARD,96944 - SW FLORIDA INT'L,,$627.00 ,7
418,PCARD,99 RANCH #1766,,$12.95 ,1
419,PCARD,9TH & PIKE,,$13.18 ,1
420,ARS_JDE,9TH WONDER,,"$12,213,204.53 ",135
428,PCARD,A & G FINE FOODS,,$46.29 ,1
429,ARS_JDE,A & I ENVIRONMENTAL INC,,"$6,500.00 ",10
430,PCARD,A & J RENTALS-STATESVIL,,$200.38 ,1
434,PCARD,A & S STORES LLC,,$2.76 ,1
435,PCARD,A & V Korrca LLC,,$40.02 ,1
437,PCARD,A 1 AIRPORT LIMOUSINE SE,,$302.05 ,2
438,PCARD,A 1 AMUSEMENT & PARTY RE,,$276.47 ,1
440,ARS_JDE,A 1 OIL RECYCLING LLC,,$546.00 ,2
448,PCARD,A CLOUD GURU LTD,,"$1,434.48 ",9
449,ARS_JDE,A CORE CONCRETE CUTTING INC,,"$1,467.50 ",3
452,PCARD,A G P AUTO REPAIR,,$105.00 ,1
454,ARS_JDE,A PERSONAL TOUCH CLEANING,,$1.63 ,1
455,ARS_JDE,A PLUS AUTO SERVICES LLC,A-PLUS,"$7,087.52 ",22
456,PCARD,A R HHC ORLANDO CONVENTIO,,$479.88 ,3
457,ARS_JDE,A STORAGE ON WHEELS,,"$8,778.42 ",18
460,PCARD,A TO Z EQUIPMENT RENTALS,,$101.79 ,1
463,ARS_JDE,A WILSON GENERAL CONTRACTING LLC,,"$37,405.00 ",31
466,ARS_JDE,A&K REMODELING AND TURNKEY,,"$1,996.00 ",1
467,PCARD,A&M MOBILE MECHANIC,,"$23,782.19 ",66
468,ARS_JDE,A.S. Development Co Inc,,"$77,090.00 ",28
472,ARS_JDE,A1 ANTI-VIRUS CLEANERS INC,,"$109,166.98 ",25
474,ARS_JDE,A-1 CRANE SERVICE AND RIGGING INC,,"$1,300.00 ",2
477,ARS_JDE,A-1 INDUSTRIAL TOOLS & SERVICES,,"$4,243.14 ",4
478,PCARD,A-1 LIMESTONE & GRAVEL,,$624.00 ,1
479,ARS_JDE,A-1 PAVING,,"$2,950.00 ",2
480,PCARD,A-1 RECOVERY INC,,$535.60 ,2
481,PCARD,A1 SEWER & DRAIN,,$269.00 ,1
482,ARS_JDE,A-1 TOTAL SERVICE CONSTRUCTION INC,,"$33,450.00 ",2
483,ARS_JDE,A1A ELECTRIC LLC,A1A ELECTRIC,"$8,860.17 ",9
484,PCARD,A70 THE MARKET,,$130.00 ,1
485,ARS_JDE,AA & K LLC,,"$303,347.68 ",28
486,PCARD,AA CUSTOM AUTO 2,,$587.44 ,1
487,PCARD,AA INFLIGHT,,$60.00 ,5
488,PCARD,AA KIOSK0010279719188,,$40.00 ,1
489,PCARD,AA U-CART CONCRETE INC,,$316.38 ,1
494,PCARD,AAA CCIT FREDBURG F 6700,,$843.43 ,1
495,PCARD,AAA ELECTRIC MOTOR SALES,,$61.56 ,1
497,PCARD,AAA MA-CCIT FAIRFX F 37,,$293.96 ,1
498,PCARD,AAA PARTY RENTALS,,$355.30 ,1
499,ARS_JDE,AAA RECYCLING,,"$5,910.00 ",101
500,ARS_JDE,AAA SECURITY SHREDDING INC,,"$1,650.00 ",11
501,ARS_JDE,AAA SEPTIC PUMPING,,"$3,850.00 ",1
502,ARS_JDE,AAA SERVICES,,"$55,925.00 ",145
505,PCARD,AAFES ABERDEEN PG MAIN,,$104.95 ,1
506,PCARD,AAKI RESTAURANT,,$75.00 ,1
507,ARS_JDE,AAMCO TRANS CORP,,"$7,280.86 ",1
509,ARS_JDE,AARDEMA ELECTRIC,,"$4,183.09 ",2
511,PCARD,AARDWOLF BREWING COMPAN,,$13.83 ,1
515,PCARD,AARZU LLC,,$219.53 ,1
516,PCARD,AB KITCHEN,,$55.30 ,1
517,PCARD,AB METAL INC,,$28.92 ,1
520,PCARD,Abadak Inc,,$771.55 ,2
524,ARS_JDE,Abatix Corp.,,$700.45 ,6
526,PCARD,ABBOTT CARDS,,$285.00 ,1
528,ARS_JDE,ABC CHESAPEAKE SHORES CHAPTER,,"$2,142.00 ",1
529,ARS_JDE,ABC EQUIPMENT RENTAL & SALES,,$915.88 ,1
530,PCARD,ABC IMAGING - SEATTLE,,$155.86 ,1
531,PCARD,ABC PHONES OF NORTH CAROL,,$48.03 ,1
532,PCARD,ABC SUPPLY 531,ABC SUPPLY/BRADCO,$20.26 ,1
533,PCARD,ABC SUPPLY 98,ABC SUPPLY/BRADCO,$700.00 ,1
536,ARS_JDE,ABC TERMITE & PEST CONTROL,,"$1,075.00 ",10
538,PCARD,ABCO GARAGE DOOR CO,,"$4,862.00 ",3
543,PCARD,ABERDEEN CAR WASH,,$58.65 ,2
548,ARS_JDE,ABF PRINTS INC,,"$29,524.40 ",26
552,ARS_JDE,ABLE DISTRIBUTORS,,"$27,317.55 ",15
553,ARS_JDE,ABLE SEPTIC TANK INC,,"$3,690.00 ",1
554,PCARD,ABM CONCORD GARAGE 9005,,$4.00 ,1
555,PCARD,ABM ORLANDO INTL A&B TERM,,$352.00 ,5
558,ARS_JDE,ABOVE & BEYOND CATERING LLC,,"$6,866.25 ",2
559,ARS_JDE,ABOVE ALL CLEANING LLC,,"$19,866.00 ",17
560,PCARD,ABP PIZZA INC,,$280.26 ,2
561,PCARD,ABRAHAM LIMO - CLOVER,,$144.00 ,1
569,ARS_JDE,ABSOLUTE AUTO CREDIT,,"$1,050.00 ",1
570,PCARD,ABSOLUTE CLOSETS-CABINET,,"$1,740.00 ",1
573,ARS_JDE,ABSOLUTE ENVIRONMENTAL SERVICES LTD LLP,,"$5,900.00 ",2
574,PCARD,ABUELOS INTERNATIONAL LP,,$228.79 ,4
576,ARS_JDE,AC CRANE & SIGN SERVICE INC,,"$38,880.00 ",55
577,PCARD,AC HOTEL MIAMI DADELAN,,"$10,452.47 ",28
580,PCARD,AC MARRIOTT CHICAGO,MARRIOTT,$845.26 ,4
581,PCARD,AC MARRIOTT IRVINE,MARRIOTT,$926.99 ,5
585,ARS_JDE,AC ROOFING,,"$12,125.00 ",7
586,PCARD,ACADEMIC PRODUCTIONS,,$665.00 ,1
596,ARS_JDE,ACAPULCO ROCK & SOIL PRODUCTS INC.,,"$8,055.77 ",63
597,PCARD,ACAVATI LLC,,$439.96 ,1
599,PCARD,ACC COURTHOUSE PARKING,,$17.00 ,2
603,PCARD,ACCELA WEB,,"$13,486.67 ",24
604,ARS_JDE,ACCENT FOOD SERVICES LLC,,"$12,182.23 ",29
607,ARS_JDE,ACCESSORIES IN CABLING LLC,,"$16,375.14 ",6
608,PCARD,ACCO Brands Corporation,,$40.92 ,1
609,ARS_JDE,ACCO ENGINEERED SYSTEMS INC,,$690.00 ,1
610,ARS_JDE,ACCORDION PARTNERS LLC,,"$1,835,194.92 ",15
611,PCARD,ACCPARTYRENTAL,,$250.06 ,1
612,PCARD,ACCURATE AUTOPLEX,,$367.50 ,1
613,ARS_JDE,ACCURATE BACKFLOW TESTING PROS INC,,$519.00 ,2
614,PCARD,ACCURATE INDUSTRIES,,"$2,210.00 ",1
616,ARS_JDE,ACE BUILDERS HARDWARE,ACE HARDWARE,"$17,078.15 ",291
617,ARS_JDE,ACE CUTTING & CORING,,"$4,130.00 ",9
618,PCARD,ACE DISPOSAL,,"$1,217.19 ",7
620,ARS_JDE,ACE HANDYMAN SERVCES OF EAST GWINNETT,,"$9,744.92 ",16
621,ARS_JDE,ACE HARDWARE AND GARDEN CENTER,ACE HARDWARE,$415.02 ,14
622,PCARD,ACE HARDWARE CORPORATION,ACE HARDWARE,$635.99 ,3
623,PCARD,ACE HARDWARE OF PROVO,ACE HARDWARE,$21.44 ,1
624,PCARD,ACE HARDWARE PAYSON,ACE HARDWARE,$79.98 ,2
625,PCARD,ACE HDW AT OLYMPUS HILLS,,$93.63 ,1
626,ARS_JDE,ACE IMAGE WEAR,,"$89,171.62 ",243
